,PMID/PMCID,Publisher,Journal title,Article title,Cost
370,3488812,Cambridge University Press,pyschological medicine,A Comparison of the Clinical Characteristics of Women with Recurrent Major Depression with and without Suicidal Symptomolgy,1800.0
371,NA,Cambridge University Press,urban history,"Leisure, economy and colonial urbanism: Darjeeling, 1835-1930",2034.0
372,3472342,Cambridge University Press,visual neuroscience,Masking within and across visual dimensions: Psychophysical evidence for perceptual segregation of color and motion,2034.0
373,22972952/3544867,Camdus Journal Services,journal of neurophysiology,Intra and interhemispheric connectivity between face-selective regions in the human brain,1565.06
374,3738821,Cell Press,american journal of human genetics,ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy,2418.34
375,3757743,Cell Press,stem cell reports,Rebuilding pluripotency from primordial germ cells,2340.55
376,3589712,Cenveo Publisher services,journal of clinical endocrinology and metabolism,Analysis of Body Composition in Individuals With High Bone Mass Reveals a Marked Increase in Fat Mass in Women But Not Men,2310.83
377,23785211/3754066,Cenveo Publisher Services/ASM JV1,journal of virol,Acute CD8 Tcell response tat select for escape variants are needed to control live attenuted SIV,1604.82
378,3503237,COACTION,journal of the international aids society,Quantifying losses from the care pathway for people living with infection in sub-Saharan Africa.,1370.63
379,3418585,Cold Spring Habour Press,genes and development,"Autoregulation of TDP-43 mRNA levels involves interplay between transcription, splicing and alternative polyA site selection",1501.44
380,3533127,Cold Spring Harbor,learning and memory,The medial dorsal thalamic nucleus and the medial prefrontal cortex of the rat function together to support associative recognition and recency but not item recognition,1519.71
381,3489999,Cold Spring Harbor Laboratory Press,genes and development,Brr2p-mediated conformational rearrangements in the spliceosome during activation and substrate repositioning,1267.34
382,3460180,Cold Spring Harbor Laboratory Press,genome research,Copy number variation leads to considerable diversity for B but not A haplotypes of the human KIR genes encoding NK cell receptors,1491.24
383,3561869,Cold Spring Harbor Laboratory Press,genome research,"Differentially expressed, variant U1 snRNAs regulate gene expression in human cells",1548.77
384,3504671,Cold Spring Harbor Press,rna,Kinetic analysis of pre-ribosome structure in vivo,910.05
385,3527725,Cold Spring Harbor Publications,rna,The association of an La module with the PABP-interacting motif PAM2 is a recurrent evolutionary process that led to the neofunctionalization of La-related proteins,1107.57
386,24046445/3828593,Company of Biologist,journal of cell science,A new kind of membrane-tethered eukaryotic transcription factor that shares an auto-proteolytic processing mechanism with bacteriophage tail-spike proteins,2400.0
387,3558749,Company of Biologists,biology open,Highly efficient bi-allelic mutation rates using TALENs in Xenopus tropicalis,1044.0
388,3711043,Company of Biologists,biology open,Olfactory ensheathing glia are required for embryonic olfactory axon targeting and the migration of gonadotrophin-releasing hormone neurons,1044.0
389,NA,Company of Biologists,biology open,Nrf2 impacts cellular bioenergetics by controlling substrate availability for mitochondrial respiration,1044.0
390,3509734,Company of Biologists,development,Dishevelled limits Notch signalling through inhibition of CSL,1044.0
391,3621487,Company of Biologists,development,A Cul-3-BTB ubiquitylation pathway regulates junctional levels and asymmetry of core planar polarity proteins,1620.0
392,3152927,Company of Biologists,development,VEGF signalling controls GnRH neuron survival via NRP1 independently of KDR and blood vessels,1620.0
393,3699283,Company of Biologists,development,Syndecan 4 interacts genetically with Vangl2 to regulate neural tube closure and planar cell polarity,2400.0
394,3737725,Company of Biologists,development,The Nm23-H1/H2 homolog NDK-1 is required for full activation of Ras signaling in C. elegans,2400.0
395,23861059,Company of Biologists,development,Cell and tissue dynamics during Tribolium castaneum embryogenesis revealed by versatile fluorescence labeling approaches,2400.0
396,NA,Company of Biologists,development,Eph/Ephrin signalling maintains the segregation of eye field cells from adjacent neural plate territories during forebrain morphogenesis,2400.0
397,3603409,Company of Biologists,developmental cell,Limk2 mediates semaphorin signalling in cortical interneurons migrating through the subpallium,1044.0
398,3597032,Company of Biologists,disease models and mechanisms,Inflammation drives wound hyperpigmentation in zebrafish by recruiting pigment cells to sites of tissue damage,1620.0
399,23704353/3730248,Company of Biologists,journal of cell sci.,A dual role for the ?PS integrin myospheroid in mediating Drosophila embryonic macrophage migration.,2400.0
400,3613178,Company of Biologists,journal of cell science,Positional editing of transmembrane domains during ion channel assembly,1620.0
401,3613179,Company of Biologists,journal of cell science,Get3 is a holdase chaperone and moves to deposition sites for aggregated proteins when membrane targeting is blocked,1620.0
402,3757329,Company of Biologists,journal of cell science,The antagonistic modulation of Arp2/3 activity by N-WASP/WAVE2 and PICK1 defines dynamic changes in astrocyte morphology,2400.0
403,NA,Company of Biologists,journal of cell science,Expression of OA1 limits the fusion of a subset of MVBs with lysosomes; a mechanism likely involved in the initial biogenesis of melanosomes,2400.0
404,3533396,Company of Biologists,journal of cell science,PKA isoforms coordinate mRNA fate during nutrient starvation ,999999.0
405,23606739,Company of Biologists Ltd,journal of cell science,Cell wall stress induces alternative fungal cytokinesis and septation strategies,2000.0
406,23570314/3634610,Copyright Clearace Center,international reviews of immunology,C-type lectin-like receptors of the Dectin-1 cluster: ligands and signalling pathways,2775.23
407,3687256,CSHLP,learning and memory,Schema-driven facilitation of new hierarchy learning in the transitive inference paradigm,1314.81
408,NA,CUP,journal of the international african institute,"Stuck in ruins, or up and coming?",2034.0
409,NA,CUP,journal of the international african institute,Tarmacking in the mellinum city: spatial and temporal  tralectories of empowerment in Kenya.,2034.0
410,NA,CUP,journal of the international african institute,"Pharmacy, money and public health in Dakar.",999999.0
411,NA,CUP,psychological medicine,The methods and outcomes of cultural adaptations of psychological treatments for depressive disorder.,2034.0
412,NA,CUP,psychological medicine,Depression is related to an absence of optimistically biased belief about future life events,2034.0
413,NA,CUP,psychological medicine,Atypical Interference effect of action observation in autism spectrum conditions,2034.0
414,3733066,CUP,public health nutrition,"Maternal HIV infection and other factors associated with growth outcomes of HIV-uninfected infants in Entebbe, Uganda",2034.0
415,23994477,Darmouth Journal Services,cell reports,Localization-Dependent and -Independent Roles of SLX4 in Regulating Telomeres,3154.01
416,3545681,Dartmouth Journal Services,american journal for clinical nutrition,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,1891.19
417,3652920,Dartmouth Journal Services,american journal of clinical nutrition,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women,1953.76
418,3644702,Dartmouth Journal Services,cell press - cell reports,Definition of RNA Polymerase ii CoTC Terminator Elements in the Human Genome,3884.4
419,3607254,Dartmouth Journal Services,cell reports,Tcf15 primes pluripotent cells for deifferentiation,3242.21
420,3675675,Dartmouth Journal Services,cell reports,A role for cytosolic fumarate hydratase in urea cycle metabolism and renal neoplasia.,3882.41
421,3607223,Dartmouth Journal Services,cell reports,Structure of a pestivirus envelope glycoprotein e2 clarifies its role in cell entry,3906.55
422,3617368,Dartmouth Journal Services,cell reports,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.,3967.99
423,3778892,Dartmouth Journal Services,cell reports,c-Myc Induced Sebaceous Gland Differentiation is Controlled by an Androgen Receptor/p53 Axis,3995.74
424,3564995,Dartmouth Journal Services,"g3: genes, genomes, genetics",How to design a genetic mating scheme: a basic training package for Drosophila genetics,1230.67
425,2881129,Dartmouth Journal Services,genetics,Distinct regulation of Mlh1p heterodimers in meiosis and mitosis in Saccharomyces cerevisae,790.93
426,3584010,Dartmouth Journal Services,genetics,Estimating selection coefficients in spatially structured populations from time series data of allele frequencies.,1197.72
427,23319734/3672848,Dartmouth Journal Services,journal of immunol,Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.,772.13
428,23475217/3619528,Dartmouth Journal Services,journal of immunology,Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway,1932.69
429,2766312,Dartmouth Journal Services,proceedings of the national academy of sciences,Analysis of Synthetic Lethality Reveals Genetic Interactions Between the GTPase Snu114p and snRNAs in the Catalytic Core of the Saccharomyces cerevisiae Spliceosome,1241.1
430,3511132,Dartmouth Journal Services,proceedings of the national academy of sciences,SGTA antagonizes BAG6-mediated protein triage,603.42
431,3704016,Dartmouth Journal Services,proceedings of the national academy of sciences,"Inositol kinase and its product accelerate wound healing by modulating calcium levels, Rho GTPases, and F-actin assembly",660.59
432,3607403,Dartmouth Journal Services,journal of immunology,GRB2-Mediated Recruitment of THEMIS to LAT Is Essential for Thymocyte Development,2025.65
433,3549224,Dartmouth Journal Services ,journal of immunol,Chronic Exposure to Plasmodium falciparum Is Associated with Phenotypic Evidence of B and T Cell Exhaustion,1926.45
434,3808153,Dartmouth Journals,cell reports,The 5S RNP couples ribosome biogenesis to the home,3712.8
435,3738233,Dartmouth Journals,journal of nutrition,Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults,2594.13
436,3549118,Dartmouth Journals,pnas,CTLA-4 controls the thymic development of both conventional and regulatory T cells through modulation of the TCR repertoire,625.0
437,23672768,Elseveier Science,neuroimage,Gearing up for action: attentive tracking dynamically tunes sensory and motor oscillations in the alpha and beta band,1758.89
438,23046981,Elseveier Science,neuroimage,Good practice for conducting and reporting MEG research,2345.0
439,3378987,Elsevier,academy of nutrition and dietetics,Parent support and parent mediated behaviours are associated with children's sugary beverage consumption,2379.54
440,23907068/3837358,Elsevier,american journal of geriatric psychiatry,The epidemiology of delirium: challenges and opportunities for population studies,2404.53
441,3516598,Elsevier,american journal of human genetics,Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis,2296.94
442,3769921,Elsevier,american journal of human genetics,Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance,2334.41
443,3591859,Elsevier,american journal of human genetics,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita,2434.04
444,3567269,Elsevier,american journal of human genetics,LRIG2 Mutations Cause Urofacial Syndrome,3938.82
445,22898127/3830178,Elsevier,american journal of preventive medicine,Physical activity and transitioning to retirement: a systematic review,2377.65
446,23159264/3834139,Elsevier,american journal of preventive medicine,Financial incentives to promote active travel: an evidence review and economic framework,2377.65
447,3740237,Elsevier,analytical biochemistry,An expression system for screening of proteins for glycan and protein interactions.,2381.62
448,3791410,Elsevier,animal behaviour,Metabolic rate and body size are linked with perception of temporal information,1806.38
449,3763379,Elsevier,animal behaviour,Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?,1816.38
450,NA,Elsevier,applied energy,"Associations of individual, household and environmental characteristics with carbon dioxide emissions from motorised passenger travel",2377.65
451,NA,Elsevier,asian journal of psychiatry,The explanatory models and coping strategies for alcohol use.,2014.59
452,3683944,Elsevier,asian journal of psychiatry,Outcomes that matter: a qualitative study with persons with schizophrenia and their primary caregivers in India,2423.27
453,NA,Elsevier,atherosclerosis,HGF/c-Met Signaling Promotes Notch3 Activation and Human Vascular Smooth Muscle Cell Osteogenic Differentiation In Vitro,2317.94
454,3566542,Elsevier,atherosclerosis,Increased expression of fatty acid binding protein 4 and leptin in resident macrophages characterises atherosclerotic plaque rupture,2404.27
455,3787750,Elsevier,bba - molecular basis of disease,"Mutations in mitcochondrial ribosomal protein MRPL12 leads to growth retardation, neurological deterioration and mitochondrial translation deficiency",2366.57
456,3051108,Elsevier,behavior research and therapy,Clarifying boundaries of binge eating diorder and pyschiatric comorbidity: a latent sturcture analysis,2212.09
457,3112491,Elsevier,behavior research and therapy,"Therapist competence, therapy quality and therapist training",2335.37
458,3662031,Elsevier,behaviour research and therapy,Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa,2269.53
459,3662032,Elsevier,behaviour research and therapy,Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa: an alternative to family therapy?,2269.53
460,3590452,Elsevier,behavioural brain research,The telomeric part of the human chromosome 21 from Cstb to Prmt2 is not necessary for the locomotor and short-term memory deficits observed in the Tc1 mouse model of Down syndrome,2298.35
461,3759847,Elsevier,biochemical and biophysical research communications,Differential COX-2 induction by viral and bacterial PAMPs: consequences for cytokine and interferon responses and implications for anti-viral COX-2 directed therapies,1475.4
462,22326920/3480643,Elsevier,biochemical and biophysical research communications,"Biochemical characterization of recombinant Candida albicans mannosyltransferases Mnt1, Mnt2 and Mnt5 reveals functions in O- and N-mannan biosynthesis",2246.4
463,3694296,Elsevier,biochemical pharmacology,11?-Hydroxysteroid dehydrogenase type 1 contributes to the balance between 7-keto- and 7-hydroxy-oxysterols in vivo,2961.92
464,23459248,Elsevier,biochimica et bioohysica acta - gene regulatory mechanisms,The social fabric of the RNA degradosome,2476.42
465,23085491/3714738,Elsevier,biochimica et bioohysica acta - molecular basis of disease,The hereditary spastic paraplegia protein strumpellin: characterisation in neurons and of the effect of disease mutations on WASH complex assembly and function,2307.23
466,3793867,Elsevier,biochimica et biophysica acta - molecular basis of disease,Serotonin paracrine signalling in tissue fibrosis,2370.96
467,NA,Elsevier,biochimica et biophysica acta (bba) - molecular cell research,Mitophagy and Parkinson's disease: the PINK1-parkin link,2415.37
468,3585959,Elsevier,biochimie,11?-Hydroxysteroid dehydrogenase type 1 contributes to the regulation of 7-oxysterol levels in the arterial wall through the inter-conversion of 7-ketocholesterol and 7?-hydroxycholesterol.,2315.48
469,3314969,Elsevier,biological psychiatry,COMT Val158Met Genotyp Determines the Direction of Cognitive Effects Produced by Catechol-O-Methyltrasferse Inhibition,2142.93
470,23245760,Elsevier,biological psychiatry,Neural and behavioural aspects of a novel mu opeid receptor antagonist in binge-eating obese people,2330.13
471,23452663,Elsevier,biological psychiatry,Counterfactual processing of economic action-outcome alternatives in obsessive-compulsive disorder: further evidence of impaired goal-directed behaviour,2429.17
472,23510580,Elsevier,biological psychiatry,Enhanced avoidance habit learning in obsessive-compulsive disorder,2469.95
473,3580283,Elsevier,biological psychology,"The catechol-O-methyltransferase gene (COMT) and cognitive function from childhood through adolescence
",2435.38
474,3520009,Elsevier,biomaterials,"Incorporation of Paramagnetic, Fluorescent and PET/SPECT Contrast Agents into Liposomes for Multimodal Imaging",2329.03
475,3605579,Elsevier,biomaterials,The Effect of Microgrooved Culture Substrates on Calcium Cycling of Cardiac Myocytes Derived from Human Induced Pluripotent Stem Cells,2466.39
476,3677098,Elsevier,biosystems,Information coding in vasopressin neurons-The role of asynchronous bistable burst firing.,2863.73
477,3526774,Elsevier,bone,The High Bone Mass phenotype is characterised by a combined cortical and trabecular bone phenotype: findings from a pQCT case-control study,2295.39
478,3607215,Elsevier,bone,Male mice housed in groups engage in frequent fighting and show a lower response to additional bone loading than females or individually housed males that do not fight,2328.43
479,3590448,Elsevier,bone,Therapeutic Impact of Low Amplitude High Frequency Whole Body Vibrations on the Osteogenesis Imperfecta Mouse Bone,2451.81
480,3549493,Elsevier,brain and cognition,An fMRI Investigation of Posttraumatic Flashbacks,2345.19
481,3661989,Elsevier,brain and cognition,Exploring the role of space-defining objects in constructing and maintaining imagined scenes,2457.25
482,3730055,Elsevier,brain and language,Dissociating frontal regions that co-lateralize with different ventral occipitotemporal regions during word processing,1456.18
483,3639368,Elsevier,brain and language,Current themes in neuroimaging studies of Reading,2498.61
484,NA,Elsevier,brain research,Fibronectin supports neurite outgrowth and axonal regeneration of adult brain neurons in vitro,2272.21
485,23246923/3573228,Elsevier,brain research,Electrophysiological evidence for a neural substrate of morphological rule,2539.89
486,3644682,Elsevier,cancer letters,Snail2 promotes osteosarcoma cell motility through remodelling of the actin cytoskeleton and regulates tumor development,2515.57
487,3732391,Elsevier,cell,Genome sequencing reveals loci under artificial selection that underlie disease phenotypes in the laboratory rat,1366.08
488,3420011,Elsevier,cell,"Small-molecule inhibition of BRDT for male contraception, Cell, Elsevier",3208.69
489,3326523,Elsevier,cell,Histone recognition and large-scale structural analysis of the human bromodomain family.,3948.42
490,3650559,Elsevier,cell,Mapping the human miRNA interactome by CLASH reveals frequent non-canonical binding,4163.88
491,3464430,Elsevier,cell,piRNAs can trigger a multigenerational epigeneitc memory in the gernline of C. elegans,999999.0
492,19324410,Elsevier,cell calcium,TRPchannel lipid specificity and mechanisms of lipid regulation,2363.14
493,3510437,Elsevier,cell host and microbe,The Salmonella kinase SteC targets MEK to regulate the host actin cytoskeleton,3838.88
494,3661979,Elsevier,cell journal,Exit from Pluripotency is Gated by Intracellular Redistribution of the bHLH transcription factor Tfe3,4041.05
495,3791399,Elsevier,cell metabolism,AMP Is a True Physiological Regulator of AMP-Activated Protein Kinase by Both Allosteric Activation and Enhancing Net Phosphorylation,3783.81
496,3690479,Elsevier,cell metabolism,Dynamic Adipocyte Phosphoproteome Reveals Akt Directly Regulates mTORC2,3904.46
497,23041313/23041313,Elsevier,cell reports,Developmental plasticity inbound by pluripotency and the FUF2Wnt signalling pathways,3100.01
498,3607255,Elsevier,cell reports,Asymmetric localizatoin of Cdx2mRNA during the first cell fate decision in early mouse development,3836.32
499,3629568,Elsevier,cell stem cell,Short telomeres in ESCs lead to unstable differentiation,3352.04
500,23040481/3510442,Elsevier,cell stem cell,Signalling from the sympathetic nervous system regulates hematopoietic stem cell emergence during embryogenesis,3716.09
501,23022959/3715701,Elsevier,cellular signalling,Functional roles for myosin 1c in cellular signalling pathways,2267.26
502,3590450,Elsevier,cellular signalling,Analysis of substrate specificity and cyclin Y binding of PCTAIRE-1 kinase.,2400.93
503,3650558,Elsevier,chemsitry and biology,A Yeast Chemical Genetic Screen Identifies Inhibitors of Human Telomerase,2184.22
504,3694302,Elsevier,clinical neurology and neurosurgery,Next generation sequencing for neurological diseases: New hope or new hype?,2455.82
505,3477630,Elsevier,clinical radiology,Chest radiographic patterns in 75 adolescents with vertically acquired HIV infection.,2262.3
506,NA,Elsevier,cognition,Belief-based action prediction in preverbal infants,1473.92
507,NA,Elsevier,cognitive development,Developmental changes in effects of risk and valence on adolescent decision-making,1439.45
508,3719211,Elsevier,consciousness and cognition,The development of metacognitive ability in adolescence,2386.47
509,23773550/3807794,Elsevier,consciousness and cognition,Do infants provide evidence that the mirror system is involv,1319.74
510,23143153/3566545,Elsevier,consciousness and cognition,Exploring implicit and explicit aspects of sense of agency,2330.13
511,NA,Elsevier,cortex,Assessing the mechanism of response in the retrosplenial cortex of good and poor navigators,1758.99
512,3664921,Elsevier,cortex,"Working, declarative and procedural memory in specific language impairment",2058.64
513,NA,Elsevier,cortex,Available processing resources influence encoding-related brain activity before an event,2345.19
514,NA,Elsevier,cortex,The hippocampus extrapolates beyond the view in scenes: an fMRI study of boundary extension,2351.06
515,NA,Elsevier,cortex,Sight and sound out of synch: Fragmentation and renormalisation of audiovisual integration and subjective timing,2420.79
516,23103187/3502867,Elsevier,current biology,Substrate-borne vibratory communication during courtship in Drosophila melanogaster,3213.28
517,3396843,Elsevier,current biology,Neural circuitry underlying Drosophila female post-mating behavioural responses,3635.15
518,3502862,ELSEVIER,current biology,BLOC-3 MUTATED IN HERMANSKY-PUDLAK SYNDROM IS A RAB32/38 GUANINE NUCLEOTIDE EXCHANGE FACTOR,3798.93
519,22902756/3485558,Elsevier,current biology,Distinct and overlapping roles for AP-1 and GGAs revealed by the 'knocksideways' system,3830.32
520,3525857,Elsevier,current biology,NAADP activates two-pore channels on T cell cytolytic granules to stimulate exocytosis and killing,3857.16
521,3510434,Elsevier,current biology,Brain structure links loneliness to social perception,3879.05
522,3580286,Elsevier,current biology,Vinculin regulates the recruitment and release of core focal adhesion proteins in a force-dependent manner,3883.86
523,3566480,Elsevier,current biology,M1 corticospinal mirror neurons and their role in movement suppression during action observation,3992.37
524,3356578,Elsevier,current biology,Disrupted Circadian Rhythms in a Mouse Model of Schizophrenia,348.33
525,3661981,Elsevier,current biology,Locomotion Controls Spatial Integration in Mouse Visual Cortex,4077.52
526,NA,Elsevier,current biology,A fovea for pain at the fingertips,4112.54
527,NA,Elsevier,current opinion in neurobiology,Analysing connectivity with Granger causality and dynamic causal modelling,2378.95
528,23932517,Elsevier,current opinion microbiology,The asexual cycle of apicomplexan parasites: new findings that raise new questions.,2979.0
529,23267662,Elsevier,current opinions in neurobiology,Updating dopamine reward signals,2429.17
530,3437444,ELSEVIER,development cell,SMCHD1-DEPENDENT & INDEPENDENT PATHWAYS DETERMINE DEVELOPMENT DYNAMICS OF CPG ISLAND METHYLATION ON THE INACTIVE X CHROMOSOME,3630.64
531,3677094,Elsevier,developmental biology,"The mechanisms of planar cell polarity, growth and the Hippo pathway: Some known unknowns",1981.38
532,3414849,Elsevier,developmental cell,Forkhead transcription factor Fd3F cooperates with Rfx to regulate a gene expression program for mechanosensory cilia specialisation,2987.0
533,3507630,Elsevier,developmental cell,Rab25 and CLIC3 Collaborate to Promote Integrin Recycling from Late Endosomes/Lysosomes and Drive Cancer Progression,3575.88
534,NA,Elsevier,developmental cell,Changes in Ect2 Localization Couple Actomyosin-Dependent Cell Shape Changes to Mitotic Progression,3781.63
535,23177648/3521961,Elsevier,developmental cell,Molecular basis for recognition of dilysine trafficking motifs by COPI,3845.38
536,NA,Elsevier,developmental cell,The Neuropilin 1 Cytoplasmic Domain Is Required for VEGF-A-Dependent Arteriogenesis,3877.46
537,3178012,Elsevier,developmental cell,Brat promotes stem cell differentiation via control of a bistable switch that restricts BMP signaling,3877.48
538,3782659,Elsevier,developmental cell,Autoregulatory feedback controls sequential action of cis-regulatory modules at the brinker locus,3975.75
539,NA,Elsevier,developmental cell,Chromosome engineering allows the efficient isolation of vertebrate neocentromeres.,364.17
540,3730058,Elsevier,developmental cell,"Daughter cell identity emerges from the interplay of Cdc42, septins, and exocytosis ",4002.42
541,3659288,Elsevier,developmental cell,Hec1-dependent cyclin B2 stabilisation regulates the G2-M transition and early prometaphase in mouse oocytes,4076.38
542,3605578,Elsevier,developmental cell,Syndecan-4 phosphorylation is a control point for integrin recycling,4099.71
543,NA,Elsevier,developmental cognitive neuroscience,The influence of reading ability on subsequent changes in verbal IQ in the teenage years,1764.06
544,3682176,Elsevier,developmental cognitive neuroscience,Predicting IQ change from brain structure: A cross-validation study,2457.25
545,3525856,Elsevier,diagnostic microbiology and infectious disease,Comparison of a Frozen Human Foreskin Fibroblast Cell Assay to an Enzyme Immunoassay and Toxigenic Culture for the Detection of Toxigenic Clostridium difficile,2252.53
546,22155499/3381227,Elsevier,elsevier,Age related changes in microglial phenotype vary between CNS regions: grey versus white matter differences.,2152.76
547,20800751/3778978,Elsevier,elsevier,The role of self-structure and self-certainty in social anxiety,2174.85
548,24064150/3849851,Elsevier,elsevier,"Birth status, childgrowth nd adult outcomes in low and middle income countries",2198.03
549,23620154/3638368,Elsevier,elsevier,"Transformation of a plasmid-free, genital tract isolate of Chlamydia trachomatis with a plasmid vector carrying a deletion in CDS6 revealed that this gene regulates inclusion phenotype",2269.15
550,22591621/3427858,Elsevier,elsevier,Are slum dwellers at heightened risk of HIV infection than other urban residents? Evidence from population-based HIV prevalence surveys in Kenya,2312.3
551,21680110/3629561,Elsevier,elsevier,Clinician and service user perceptions of implementing contingency management: A focus group study,2470.86
552,23541370/3744751,Elsevier,elsevier,Effects of relative weight gain and linear growth during early life on adult health and human capital in countries of low and middle income: findings from five birth cohort studies,4800.0
553,NA,Elsevier,endeavour,Understanding life together: a brief history of collaboration in biology,2419.71
554,NA,Elsevier,endeavour,"Family influence and psychiatric care: physical treatments in Devon mental hospitals, c. 1920 to the 1970s",615.72
555,3682189,Elsevier,epilepsy research,Assessing hippocampal functional reserve in temporal lobe epilepsy: A multi-voxel pattern analysis of fMRI data,2483.12
556,3526775,Elsevier,european journal of cell biology,"Vinculin, an adapter protein in control of cell adhesion signalling",2228.0
557,3526772,Elsevier,european journal of medical genetics,Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities,2281.08
558,23707654/3744815,Elsevier,european journal of medical genetics,The internet is parents main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome,2468.5
559,3791403,Elsevier,european neuropsychopharmacology,Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment,2325.59
560,3632754,Elsevier,experimental cell research,Perturbation of invadolysin disrupts cell migration in zebrafish (Danio rerio),999999.0
561,3562441,Elsevier,experimental eye research,"Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration",2395.43
562,23220237/3630327,Elsevier,experimental hematology,Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data,2328.24
563,3782662,Elsevier,experimental neurology,The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche,1771.93
564,3556781,Elsevier,experimental neurology,ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration,2380.28
565,23183165,Elsevier,experimental parasitology,"Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle",2329.56
566,23538029/3659828,Elsevier,experimental parasitology,Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei,2441.16
567,NA,Elsevier,febs letters,Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane,2228.0
568,3640159,Elsevier,febs letters,Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.,2244.57
569,NA,Elsevier,febs letters,Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase,2362.82
570,3655261,Elsevier,febs letters,IFN? autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages,2465.93
571,23650598/3642154,Elsevier,febs open bio,'CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration,1254.25
572,3502866,Elsevier,fertility and sterility,Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.,2169.98
573,3679489,Elsevier,fertility and sterility,Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.,2373.76
574,3679490,Elsevier,fertility and sterility,Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.,2373.76
575,3684770,Elsevier,free radical and biology medicine,S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis,1755.59
576,3605576,Elsevier,fungal biology,Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates,2272.01
577,3809933,Elsevier,fungal ecology,Species-specific PCR to describe local-scale distributions of four cryptic species in the Penicillium chrysogenum complex,2378.19
578,3507624,Elsevier,gastroenterology,Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-? and Induce Foxp3+ Regulatory T Cells via Integrin ?v?8,2228.0
579,3688188,Elsevier,gene,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats,2406.1
580,3611593,Elsevier,gene,"Dissecting the mechanisms responsible for the multiple insecticide resistance phenotype in Anopheles gambiae s.s., M form, from Vallée de Kou, Burkina Faso",2445.23
581,3725413,Elsevier,gene,Identification of a SLC19A2 nonsense mutation in Persian families with thiamineresponsive megaloblastic anemia,2468.74
582,3725417,Elsevier,gene therapy,"Gene therapy for PIDs: Progress, pitfalls and prospects",2446.97
583,NA,Elsevier,health and place,Determinants and spatial patterns,1836.92
584,23376730/3591252,Elsevier,health and place,Is the environmental setting associated with the intensity and duration of childrens physical activity? Findings from the SPEEDY GPS study,1749.74
585,3690473,Elsevier,immnunobiology,Regulation of TGFbeta in the immune system: an emerging role for integrins and dendritic cells,2317.94
586,3556782,Elsevier,immunity,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response,3799.84
587,3664922,Elsevier,immunity,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation,4069.66
588,3684771,Elsevier,immunology letters,Sources of heterogeneity in human monocyte subsets,2961.92
589,3438445,Elsevier,infection genetics and evolution,The emergence and maintenance of sickle cell hotspots in the mediterranean,1770.62
